,Code région,Nom de la région,Code département,Code arrondissement départemental,Code canton,Code_commune,Nom de la commune,Population municipale,Population comptée à part,Population totale,Année recensement,Année utilisation,Code INSEE (commune ou arrondissement),Superficie de la commune,Statut,Code INSEE de la commune,Nom de la commune IGN,Nom du département IGN,Nom de la région.1,Code EPCI,Code EPCI.1,EPCI,Année
0,4,La Réunion,974,3,31,419,Sainte-Rose,6809,71,6880,1970-01-01 00:00:00.000002008,2011,97419,178.21,Commune,97419,Sainte-Rose,LA REUNION,LA REUNION,,,,1970
1,4,La Réunion,974,2,5,405,Petite-Île,11582,109,11691,1970-01-01 00:00:00.000002009,2012,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,,,,1970
2,4,La Réunion,974,3,6,402,Bras-Panon,12616,151,12767,1970-01-01 00:00:00.000002013,2016,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
3,4,La Réunion,974,3,8,419,Sainte-Rose,6782,85,6867,1970-01-01 00:00:00.000002013,2016,97419,178.21,Commune,97419,Sainte-Rose,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
4,4,La Réunion,974,3,90,410,Saint-Benoît,35733,238,35971,1970-01-01 00:00:00.000002011,2014,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,,,,1970
5,4,La Réunion,974,1,30,418,Sainte-Marie,29962,360,30322,1970-01-01 00:00:00.000002011,2014,97418,88.65,Commune,97418,,,,,,,1970
6,4,La Réunion,974,3,6,402,Bras-Panon,12735,160,12895,1970-01-01 00:00:00.000002015,2018,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
7,4,La Réunion,974,4,3,408,La Possession,32720,386,33106,1970-01-01 00:00:00.000002015,2018,97408,118.76,Commune,97408,,,,249740101.0,249740101.0,CA Territoire de la Côte Ouest (Tco),1970
8,4,La Réunion,974,2,22,405,Petite-Île,12143,112,12255,1970-01-01 00:00:00.000002015,2018,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,249740077.0,249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),1970
9,4,La Réunion,974,3,6,421,Salazie,7384,109,7493,1970-01-01 00:00:00.000002015,2018,97421,103.82,Commune,97421,Salazie,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
10,4,La Réunion,974,1,32,420,Sainte-Suzanne,22574,180,22754,1970-01-01 00:00:00.000002011,2014,97420,57.83,Commune,97420,Sainte-Suzanne,LA REUNION,LA REUNION,,,,1970
11,4,La Réunion,974,4,97,415,Saint-Paul,103346,1472,104818,1970-01-01 00:00:00.000002010,2013,97415,240.51,Commune,97415,Saint-Paul,LA REUNION,LA REUNION,,,,1970
12,4,La Réunion,974,2,22,424,Cilaos,5796,92,5888,1970-01-01 00:00:00.000002007,2010,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,,,,1970
13,4,La Réunion,974,3,6,406,La Plaine-des-Palmistes,4713,93,4806,1970-01-01 00:00:00.000002007,2010,97406,83.05,Commune,97406,La Plaine-des-Palmistes,LA REUNION,LA REUNION,,,,1970
14,4,La Réunion,974,1,93,411,Saint-Denis,140733,1508,142241,1970-01-01 00:00:00.000002007,2010,97411,141.5,Commune,97411,Saint-Denis,LA REUNION,LA REUNION,,,,1970
15,4,La Réunion,974,2,1,401,Les Avirons,9180,149,9329,1970-01-01 00:00:00.000002006,2009,97401,26.23,Commune,97401,Les Avirons,LA REUNION,LA REUNION,,,,1970
16,4,La Réunion,974,3,7,406,La Plaine-des-Palmistes,6365,89,6454,1970-01-01 00:00:00.000002016,2019,97406,83.05,Commune,97406,La Plaine-des-Palmistes,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
17,4,La Réunion,974,2,3,403,Entre-Deux,6176,87,6263,1970-01-01 00:00:00.000002009,2012,97403,51.37,Commune,97403,Entre-Deux,LA REUNION,LA REUNION,,,,1970
18,4,La Réunion,974,2,22,405,Petite-Île,12035,101,12136,1970-01-01 00:00:00.000002014,2017,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
19,4,La Réunion,974,2,3,403,Entre-Deux,6405,66,6471,1970-01-01 00:00:00.000002012,2015,97403,51.37,Commune,97403,Entre-Deux,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
20,4,La Réunion,974,4,97,415,Saint-Paul,104646,1547,106193,1970-01-01 00:00:00.000002012,2015,97415,240.51,Commune,97415,Saint-Paul,LA REUNION,LA REUNION,249740101.0,249740101.0,CA Territoire de la Côte Ouest,1970
21,4,La Réunion,974,3,90,410,Saint-Benoît,36025,301,36326,1970-01-01 00:00:00.000002012,2015,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
22,4,La Réunion,974,2,99,422,Le Tampon,76090,927,77017,1970-01-01 00:00:00.000002013,2016,97422,181.02,Commune,97422,Le Tampon,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
23,4,La Réunion,974,2,94,412,Saint-Joseph,37608,545,38153,1970-01-01 00:00:00.000002015,2018,97412,177.85,Commune,97412,,,,249740085.0,249740085.0,CA du Sud,1970
24,4,La Réunion,974,3,6,406,La Plaine-des-Palmistes,4518,90,4608,1970-01-01 00:00:00.000002006,2009,97406,83.05,Commune,97406,La Plaine-des-Palmistes,LA REUNION,LA REUNION,,,,1970
25,4,La Réunion,974,4,91,407,Le Port,38279,285,38564,1970-01-01 00:00:00.000002008,2011,97407,16.16,Commune,97407,Le Port,LA REUNION,LA REUNION,,,,1970
26,4,La Réunion,974,4,8,408,La Possession,28798,377,29175,1970-01-01 00:00:00.000002008,2011,97408,118.76,Commune,97408,,,,,,,1970
27,4,La Réunion,974,4,2,407,Le Port,35280,354,35634,1970-01-01 00:00:00.000002015,2018,97407,16.16,Commune,97407,Le Port,LA REUNION,LA REUNION,249740101.0,249740101.0,CA Territoire de la Côte Ouest (Tco),1970
28,4,La Réunion,974,1,32,420,Sainte-Suzanne,22388,216,22604,1970-01-01 00:00:00.000002012,2015,97420,57.83,Commune,97420,Sainte-Suzanne,LA REUNION,LA REUNION,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion,1970
29,4,La Réunion,974,2,26,417,Saint-Philippe,5031,56,5087,1970-01-01 00:00:00.000002011,2014,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,,,,1970
30,4,La Réunion,974,3,33,421,Salazie,7418,79,7497,1970-01-01 00:00:00.000002011,2014,97421,103.82,Commune,97421,Salazie,LA REUNION,LA REUNION,,,,1970
31,4,La Réunion,974,4,2,407,Le Port,34810,331,35141,1970-01-01 00:00:00.000002016,2019,97407,16.16,Commune,97407,Le Port,LA REUNION,LA REUNION,249740101.0,249740101.0,CA Territoire de la Côte Ouest (Tco),1970
32,4,La Réunion,974,3,92,410,Saint-Benoît,38142,324,38466,1970-01-01 00:00:00.000002016,2019,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
33,4,La Réunion,974,4,8,408,La Possession,27175,345,27520,1970-01-01 00:00:00.000002007,2010,97408,118.76,Commune,97408,,,,,,,1970
34,4,La Réunion,974,3,6,406,La Plaine-des-Palmistes,4940,96,5036,1970-01-01 00:00:00.000002008,2011,97406,83.05,Commune,97406,La Plaine-des-Palmistes,LA REUNION,LA REUNION,,,,1970
35,4,La Réunion,974,2,26,417,Saint-Philippe,5114,54,5168,1970-01-01 00:00:00.000002008,2011,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,,,,1970
36,4,La Réunion,974,2,94,412,Saint-Joseph,33509,464,33973,1970-01-01 00:00:00.000002006,2009,97412,177.85,Commune,97412,,,,,,,1970
37,4,La Réunion,974,2,99,422,Le Tampon,73365,809,74174,1970-01-01 00:00:00.000002010,2013,97422,181.02,Commune,97422,Le Tampon,LA REUNION,LA REUNION,,,,1970
38,4,La Réunion,974,4,95,413,Saint-Leu,32971,469,33440,1970-01-01 00:00:00.000002012,2015,97413,118.08,Commune,97413,Saint-Leu,LA REUNION,LA REUNION,249740101.0,249740101.0,CA Territoire de la Côte Ouest,1970
39,4,La Réunion,974,4,91,407,Le Port,37558,255,37813,1970-01-01 00:00:00.000002011,2014,97407,16.16,Commune,97407,Le Port,LA REUNION,LA REUNION,,,,1970
40,4,La Réunion,974,2,1,404,L' Étang-Salé,14103,210,14313,1970-01-01 00:00:00.000002014,2017,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
41,4,La Réunion,974,2,22,424,Cilaos,5994,96,6090,1970-01-01 00:00:00.000002008,2011,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,,,,1970
42,4,La Réunion,974,2,4,404,L' Étang-Salé,13484,206,13690,1970-01-01 00:00:00.000002009,2012,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,,,,1970
43,4,La Réunion,974,3,92,409,Saint-André,52956,354,53310,1970-01-01 00:00:00.000002008,2011,97409,54.28,Commune,97409,Saint-André,LA REUNION,LA REUNION,,,,1970
44,4,La Réunion,974,2,94,412,Saint-Joseph,35976,483,36459,1970-01-01 00:00:00.000002010,2013,97412,177.85,Commune,97412,,,,,,,1970
45,4,La Réunion,974,1,30,418,Sainte-Marie,29951,342,30293,1970-01-01 00:00:00.000002010,2013,97418,88.65,Commune,97418,,,,,,,1970
46,4,La Réunion,974,4,14,423,Les Trois-Bassins,7268,95,7363,1970-01-01 00:00:00.000002013,2016,97423,42.48,Commune,97423,,,,249740101.0,249740101.0,CA Territoire de la Côte Ouest,1970
47,4,La Réunion,974,2,1,401,Les Avirons,11471,213,11684,1970-01-01 00:00:00.000002016,2019,97401,26.23,Commune,97401,Les Avirons,LA REUNION,LA REUNION,249740077.0,249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),1970
48,4,La Réunion,974,2,22,424,Cilaos,5838,98,5936,1970-01-01 00:00:00.000002006,2009,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,,,,1970
49,4,La Réunion,974,2,26,417,Saint-Philippe,5030,63,5093,1970-01-01 00:00:00.000002006,2009,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,,,,1970
50,4,La Réunion,974,2,8,417,Saint-Philippe,5088,47,5135,1970-01-01 00:00:00.000002013,2016,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
51,4,La Réunion,974,1,30,418,Sainte-Marie,31596,403,31999,1970-01-01 00:00:00.000002012,2015,97418,88.65,Commune,97418,,,,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion,1970
52,4,La Réunion,974,3,91,409,Saint-André,55730,465,56195,1970-01-01 00:00:00.000002015,2018,97409,54.28,Commune,97409,Saint-André,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
53,4,La Réunion,974,4,97,415,Saint-Paul,105967,1497,107464,1970-01-01 00:00:00.000002015,2018,97415,240.51,Commune,97415,Saint-Paul,LA REUNION,LA REUNION,249740101.0,249740101.0,CA Territoire de la Côte Ouest (Tco),1970
54,4,La Réunion,974,1,93,411,Saint-Denis,145347,1478,146825,1970-01-01 00:00:00.000002011,2014,97411,141.5,Commune,97411,Saint-Denis,LA REUNION,LA REUNION,,,,1970
55,4,La Réunion,974,3,6,402,Bras-Panon,12722,177,12899,1970-01-01 00:00:00.000002016,2019,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
56,4,La Réunion,974,4,97,415,Saint-Paul,103498,1409,104907,1970-01-01 00:00:00.000002009,2012,97415,240.51,Commune,97415,Saint-Paul,LA REUNION,LA REUNION,,,,1970
57,4,La Réunion,974,4,36,423,Les Trois-Bassins,6807,94,6901,1970-01-01 00:00:00.000002006,2009,97423,42.48,Commune,97423,,,,,,,1970
58,4,La Réunion,974,2,16,424,Cilaos,5403,86,5489,1970-01-01 00:00:00.000002016,2019,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,249740077.0,249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),1970
59,4,La Réunion,974,2,96,414,Saint-Louis,52038,469,52507,1970-01-01 00:00:00.000002010,2013,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,,,,1970
60,4,La Réunion,974,1,30,418,Sainte-Marie,30367,351,30718,1970-01-01 00:00:00.000002009,2012,97418,88.65,Commune,97418,,,,,,,1970
61,4,La Réunion,974,1,4,420,Sainte-Suzanne,22209,196,22405,1970-01-01 00:00:00.000002013,2016,97420,57.83,Commune,97420,Sainte-Suzanne,LA REUNION,LA REUNION,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion,1970
62,4,La Réunion,974,2,16,403,Entre-Deux,6634,67,6701,1970-01-01 00:00:00.000002014,2017,97403,51.37,Commune,97403,Entre-Deux,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
63,4,La Réunion,974,3,2,402,Bras-Panon,12298,145,12443,1970-01-01 00:00:00.000002012,2015,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
64,4,La Réunion,974,3,92,409,Saint-André,54721,413,55134,1970-01-01 00:00:00.000002012,2015,97409,54.28,Commune,97409,Saint-André,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
65,4,La Réunion,974,3,8,419,Sainte-Rose,6520,80,6600,1970-01-01 00:00:00.000002016,2019,97419,178.21,Commune,97419,Sainte-Rose,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
66,4,La Réunion,974,2,96,414,Saint-Louis,50131,475,50606,1970-01-01 00:00:00.000002007,2010,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,,,,1970
67,4,La Réunion,974,3,31,419,Sainte-Rose,6680,66,6746,1970-01-01 00:00:00.000002007,2010,97419,178.21,Commune,97419,Sainte-Rose,LA REUNION,LA REUNION,,,,1970
68,4,La Réunion,974,3,7,406,La Plaine-des-Palmistes,5741,90,5831,1970-01-01 00:00:00.000002013,2016,97406,83.05,Commune,97406,La Plaine-des-Palmistes,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
69,4,La Réunion,974,3,92,410,Saint-Benoît,36131,302,36433,1970-01-01 00:00:00.000002013,2016,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est,1970
70,4,La Réunion,974,2,94,412,Saint-Joseph,37550,546,38096,1970-01-01 00:00:00.000002013,2016,97412,177.85,Commune,97412,,,,249740085.0,249740085.0,CA du Sud,1970
71,4,La Réunion,974,2,4,404,L' Étang-Salé,13266,191,13457,1970-01-01 00:00:00.000002006,2009,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,,,,1970
72,4,La Réunion,974,3,33,421,Salazie,7065,100,7165,1970-01-01 00:00:00.000002006,2009,97421,103.82,Commune,97421,Salazie,LA REUNION,LA REUNION,,,,1970
73,4,La Réunion,974,2,5,405,Petite-Île,11672,132,11804,1970-01-01 00:00:00.000002007,2010,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,,,,1970
74,4,La Réunion,974,2,26,417,Saint-Philippe,5129,65,5194,1970-01-01 00:00:00.000002007,2010,97417,154.47,Commune,97417,Saint-Philippe,LA REUNION,LA REUNION,,,,1970
75,4,La Réunion,974,2,4,404,L' Étang-Salé,13367,188,13555,1970-01-01 00:00:00.000002008,2011,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,,,,1970
76,4,La Réunion,974,1,30,418,Sainte-Marie,30815,389,31204,1970-01-01 00:00:00.000002008,2011,97418,88.65,Commune,97418,,,,,,,1970
77,4,La Réunion,974,2,99,422,Le Tampon,72026,911,72937,1970-01-01 00:00:00.000002008,2011,97422,181.02,Commune,97422,Le Tampon,LA REUNION,LA REUNION,,,,1970
78,4,La Réunion,974,3,90,410,Saint-Benoît,34682,225,34907,1970-01-01 00:00:00.000002009,2012,97410,229.79,Commune,97410,Saint-Benoît,LA REUNION,LA REUNION,,,,1970
79,4,La Réunion,974,3,91,409,Saint-André,55628,460,56088,1970-01-01 00:00:00.000002016,2019,97409,54.28,Commune,97409,Saint-André,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (Cirest),1970
80,4,La Réunion,974,2,22,424,Cilaos,5440,104,5544,1970-01-01 00:00:00.000002012,2015,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
81,4,La Réunion,974,2,5,405,Petite-Île,11573,99,11672,1970-01-01 00:00:00.000002011,2014,97405,33.83,Commune,97405,Petite-Île,LA REUNION,LA REUNION,,,,1970
82,4,La Réunion,974,2,1,401,Les Avirons,10093,162,10255,1970-01-01 00:00:00.000002007,2010,97401,26.23,Commune,97401,Les Avirons,LA REUNION,LA REUNION,,,,1970
83,4,La Réunion,974,2,98,416,Saint-Pierre,74480,901,75381,1970-01-01 00:00:00.000002006,2009,97416,96.32,Commune,97416,Saint-Pierre,LA REUNION,LA REUNION,,,,1970
84,4,La Réunion,974,1,23,418,Sainte-Marie,32940,446,33386,1970-01-01 00:00:00.000002015,2018,97418,88.65,Commune,97418,,,,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion (Cinor),1970
85,4,La Réunion,974,2,1,401,Les Avirons,10455,153,10608,1970-01-01 00:00:00.000002009,2012,97401,26.23,Commune,97401,Les Avirons,LA REUNION,LA REUNION,,,,1970
86,4,La Réunion,974,1,93,411,Saint-Denis,145209,1499,146708,1970-01-01 00:00:00.000002009,2012,97411,141.5,Commune,97411,Saint-Denis,LA REUNION,LA REUNION,,,,1970
